stock_id,brand,model,model_family,cpu_socket,max_sockets,ram_type,drive_form_factors,condition_new,condition_refurbished,datasheet,source,is_server,needs_review,note
4688,DELL,DELL POWEREDGE R450 8SFF,DELL R450,LGA4189,2,DDR4,"2.5"" SFF",no,no,DELL\DELL- PowerEdge-R450-DATA SHEET.pdf,derived,yes,no,Dell 15G (Ice Lake)
4689,DELL,DELL POWEREDGE R440 10SFF,DELL R440,LGA3647,2,DDR4,"2.5"" SFF",no,no,DELL\DELL poweredge-r440-DATA SHEET.pdf,derived,yes,no,Dell 14G (Skylake/Cascade)
4690,HPE,HPE DL360 GEN9 4LFF,HPE DL360 GEN9,LGA2011-3,2,DDR4,"3.5"" LFF",no,no,HPE\hpe-dl360-gen9-datasheet.pdf,derived,yes,no,HPE Gen9 (E5 v3/v4)
4691,HPE,HPE DL360p GEN8,HPE DL360P GEN8,LGA2011,2,DDR3,,no,no,none,derived,yes,no,HPE Gen8 (E5 v1/v2)
4692,HPE,HPE DL160 GEN8,HPE DL160 GEN8,LGA2011,2,DDR3,,no,no,none,derived,yes,no,HPE Gen8 (E5 v1/v2)
4693,HPE,HPE DL160 GEN9,HPE DL160 GEN9,LGA2011-3,2,DDR4,,no,no,none,derived,yes,no,HPE Gen9 (E5 v3/v4)
4694,DELL,DELL POWEREDGE R640 4LFF,DELL R640,LGA3647,2,DDR4,"3.5"" LFF",no,no,DELL\dell poweredge-r640-data sheet.pdf,derived,yes,no,Dell 14G (Skylake/Cascade)
4695,DELL,DELL POWEREDGE 430  8SFF,DELL 430,LGA2011-3,2,DDR4,"2.5"" SFF",no,no,none,derived,yes,no,Dell 13G (E5 v3/v4)
4696,HPE,HPE 365 GEN10 PLUS,HPE 365 GEN10 PLUS,LGA4189,2,DDR4,,no,no,none,derived,yes,no,HPE Intel Gen10 Plus (Ice Lake)
4697,LENOVO,LENOVO HR630X,LENOVO HR630X,LGA3647,2,DDR4,,no,no,none,derived,yes,no,Lenovo HR630X (Scalable)
4698,HPE,HPE DL360 GEN9 8SFF,HPE DL360 GEN9,LGA2011-3,2,DDR4,"2.5"" SFF",no,no,HPE\hpe-dl360-gen9-datasheet.pdf,derived,yes,no,HPE Gen9 (E5 v3/v4)
4699,HPE,DL360 GEN10,DL360 GEN10,LGA3647,2,DDR4,,no,no,HPE\hpe-dl360-gen10-datasheet.pdf,derived,yes,no,HPE Intel Gen10 (Skylake/Cascade)
4700,INSPUR,INSPUR SA5112M4 8SFF,INSPUR SA5112M4,LGA2011-3,2,DDR4,"2.5"" SFF",no,no,none,derived,yes,no,Inspur M4 (E5 v3/v4)
4701,INSPUR,INSPUR SA5112M4 4LFF,INSPUR SA5112M4,LGA2011-3,2,DDR4,"3.5"" LFF",no,no,none,derived,yes,no,Inspur M4 (E5 v3/v4)
4702,HPE,HPE DL120 GEN9,HPE DL120 GEN9,LGA2011-3,2,DDR4,,no,no,none,derived,yes,no,HPE Gen9 (E5 v3/v4)
4703,HPE,HPE DL360 GEN8 4LFF,HPE DL360 GEN8,LGA2011,2,DDR3,"3.5"" LFF",no,no,none,derived,yes,no,HPE Gen8 (E5 v1/v2)
4704,CISCO,Cisco UCS UCSC-C220-M4S,CISCO UCS UCSC C220 M4S,LGA2011-3,2,DDR4,,no,no,none,derived,yes,no,Cisco UCS M4 (E5 v3/v4)
4705,DELL,DELL POWEREDGE R420 4LFF,DELL R420,LGA1356,2,DDR3,"3.5"" LFF",no,no,DELL\Dell-PowerEdge-R420Technical-Guide data sheet.pdf,derived,yes,no,Dell 12G entry (E5-2400)
4706,QUANTA,QUANTA DS220,QUANTA DS220,LGA3647,2,DDR4,,no,no,none,derived,yes,no,Quanta cloud (Scalable Gen1/2)
4707,QUANTA,QUANTA T4TS2U,QUANTA T4TS2U,LGA3647,2,DDR4,,no,no,none,derived,yes,no,Quanta cloud (Scalable Gen1/2)
4708,QUANTA,QUANTA DS120,QUANTA DS120,LGA3647,2,DDR4,,no,no,none,derived,yes,no,Quanta cloud (Scalable Gen1/2)
4709,HPE,HPE DL380 GEN10,HPE DL380 GEN10,LGA3647,2,DDR4,,no,no,none,derived,yes,no,HPE Intel Gen10 (Skylake/Cascade)
4710,DELL,DELL POWEREDGE R640 10SFF,DELL R640,LGA3647,2,DDR4,"2.5"" SFF",no,no,DELL\dell poweredge-r640-data sheet.pdf,derived,yes,no,Dell 14G (Skylake/Cascade)
4711,DELL,DELL POWEREDGE R640 8SFF,DELL R640,LGA3647,2,DDR4,"2.5"" SFF",no,no,DELL\dell poweredge-r640-data sheet.pdf,derived,yes,no,Dell 14G (Skylake/Cascade)
4712,HPE,HPDL380P GEN8  8SFF,HPDL380P GEN8,LGA2011,2,DDR3,"2.5"" SFF",no,no,none,derived,yes,no,HPE Gen8 (E5 v1/v2)
4713,INSPUR,INSPUR NF5280M5  12LFF  * 2SFF,INSPUR NF5280M5,LGA3647,2,DDR4,"2.5"" SFF;3.5"" LFF",no,no,INSPUR\INSPURE_NF5280M5 12LFF  2SFF DATA SHEET.pdf,derived,yes,no,Inspur M5 (Skylake/Cascade)
4714,GIGABYTE,GIGABYTE R162-Z12,GIGABYTE R162 Z12,SP3,2,DDR4,,no,no,none,derived,yes,no,Gigabyte EPYC Rome/Milan
4715,HPE,DL360 GEN9  4LFF,DL360 GEN9,LGA2011-3,2,DDR4,"3.5"" LFF",no,no,HPE\hpe-dl360-gen9-datasheet.pdf,derived,yes,no,HPE Gen9 (E5 v3/v4)
